구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,0.0,1
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,이사,비상임,9.0,7.0,11.0,10.0,7.0,9
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,감사,비상임,2.0,1.0,1.0,1.0,1.0,1
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1
정규직,일반 정규직,정원,계(B),69.0,69.0,69.0,84.0,91.0,94
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,0.0,1.0,1
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0
정규직,일반 정규직,현원,계,0.0,0.0,65.5,78.5,84.5,82
정규직,일반 정규직,현원,전일제,0.0,0.0,64.0,77.0,83.0,80
정규직,일반 정규직,현원,단시간,0.0,0.0,1.5,1.5,1.5,2
정규직,무기 계약직,정원,계(C),34.0,34.0,34.0,34.0,34.0,33
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0
정규직,무기 계약직,현원,계,43.25,54.75,31.75,31.0,31.0,31
정규직,무기 계약직,현원,전일제,41.0,54.0,31.0,31.0,31.0,31
정규직,무기 계약직,현원,단시간,2.25,0.75,0.75,0.0,0.0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),104.0,104.0,104.0,119.0,126.0,128
