구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0.0,0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0.0,0
임원,임원,이사,비상임,14,14.0,14.0,13.0,14.0,14
임원,임원,감사,상임 정원,1,1.0,1.0,1.0,1.0,1
임원,임원,감사,상임 현원,1,1.0,1.0,1.0,1.0,1
임원,임원,감사,비상임,0,0.0,0.0,0.0,0.0,0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2.0,2.0,2.0,2.0,2
정규직,일반 정규직,정원,계(B),333,359.0,376.0,397.0,405.0,411
정규직,일반 정규직,정원,(별도정원),2,5.0,6.0,5.0,6.0,10
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0
정규직,일반 정규직,현원,계,310,343.75,362.75,373.75,378.75,389
정규직,일반 정규직,현원,전일제,310,343.0,362.0,373.0,378.0,389
정규직,일반 정규직,현원,단시간,0,0.75,0.75,0.75,0.75,0
정규직,무기 계약직,정원,계(C),220,220.0,220.0,220.0,220.0,204
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0
정규직,무기 계약직,현원,계,145,142.0,166.0,185.5,181.0,170
정규직,무기 계약직,현원,전일제,145,142.0,166.0,184.0,179.0,168
정규직,무기 계약직,현원,단시간,0,0.0,0.0,1.5,2.0,2
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),555,581.0,598.0,619.0,627.0,617
