구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1,1
임원,임원,기관장,상임 현원,1,1,1.0,1.0,1,1
임원,임원,기관장,비상임,0,0,0.0,0.0,0,0
임원,임원,이사,상임 정원,0,0,0.0,0.0,0,0
임원,임원,이사,상임 현원,0,0,0.0,0.0,0,0
임원,임원,이사,비상임,10,10,10.0,10.0,10,10
임원,임원,감사,상임 정원,0,0,0.0,0.0,0,0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0,0
임원,임원,감사,비상임,1,1,1.0,1.0,1,1
임원,임원,기타,기타,0,0,0.0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1.0,1,1
정규직,일반 정규직,정원,계(B),556,607,611.0,605.0,614,624
정규직,일반 정규직,정원,(별도정원),3,24,14.0,5.0,12,19
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0,0
정규직,일반 정규직,현원,계,543,599,597.4,594.4,601,609
정규직,일반 정규직,현원,전일제,543,599,597.0,594.0,601,609
정규직,일반 정규직,현원,단시간,0,0,0.4,0.4,0,0
정규직,무기 계약직,정원,계(C),1,1,1.0,1.0,1,1
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0,0
정규직,무기 계약직,현원,계,1,1,1.0,1.0,1,1
정규직,무기 계약직,현원,전일제,1,1,1.0,1.0,1,1
정규직,무기 계약직,현원,단시간,0,0,0.0,0.0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),558,609,613.0,607.0,616,626
