구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0,0.0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0,0.0
임원,임원,이사,비상임,0,0.0,0.0,0.0,0,0.0
임원,임원,감사,상임 정원,1,1.0,1.0,0.0,0,0.0
임원,임원,감사,상임 현원,1,1.0,1.0,0.0,0,0.0
임원,임원,감사,비상임,0,0.0,0.0,0.0,0,0.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2.0,2.0,1.0,1,1.0
정규직,일반 정규직,정원,계(B),1650,1655.0,1669.0,1695.0,1707,1690.0
정규직,일반 정규직,정원,(별도정원),55,59.0,35.0,60.0,69,52.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,1585,1644.25,1662.5,1668.0,1686,1670.5
정규직,일반 정규직,현원,전일제,1583,1643.0,1661.0,1665.0,1683,1669.0
정규직,일반 정규직,현원,단시간,2,1.25,1.5,3.0,3,1.5
정규직,무기 계약직,정원,계(C),0,31.0,31.0,31.0,31,31.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,0,16.0,29.75,28.75,28,29.0
정규직,무기 계약직,현원,전일제,0,16.0,29.0,28.0,28,29.0
정규직,무기 계약직,현원,단시간,0,0.0,0.75,0.75,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1652,1688.0,1702.0,1727.0,1739,1722.0
