구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,0,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,0,0,0,0,0,0
임원,임원,이사,상임 현원,0,0,0,0,0,0
임원,임원,이사,비상임,6,6,6,7,7,7
임원,임원,감사,상임 정원,0,0,0,0,0,0
임원,임원,감사,상임 현원,0,0,0,0,0,0
임원,임원,감사,비상임,1,1,1,1,1,1
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1
정규직,일반 정규직,정원,계(B),65,65,41,47,47,47
정규직,일반 정규직,정원,(별도정원),0,0,0,0,0,0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,30,28,37,42,42,47
정규직,일반 정규직,현원,전일제,30,28,37,42,42,47
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),20,20,20,20,20,18
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,27,25,20,16,15,15
정규직,무기 계약직,현원,전일제,27,25,20,16,15,15
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),86,86,62,68,68,66
