구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1.0
임원,임원,기관장,상임 현원,1,1,1,1,1,1.0
임원,임원,기관장,비상임,0,0,0,0,0,0.0
임원,임원,이사,상임 정원,0,0,0,0,0,0.0
임원,임원,이사,상임 현원,0,0,0,0,0,0.0
임원,임원,이사,비상임,8,8,8,8,8,8.0
임원,임원,감사,상임 정원,0,0,0,0,0,0.0
임원,임원,감사,상임 현원,0,0,0,0,0,0.0
임원,임원,감사,비상임,1,1,1,1,1,1.0
임원,임원,기타,기타,0,0,0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1,1,1.0
정규직,일반 정규직,정원,계(B),141,141,112,112,122,122.0
정규직,일반 정규직,정원,(별도정원),0,0,0,0,0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0.0
정규직,일반 정규직,현원,계,94,105,105,101,110,111.75
정규직,일반 정규직,현원,전일제,94,105,105,101,110,111.0
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0.75
정규직,무기 계약직,정원,계(C),31,31,31,31,33,33.0
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0.0
정규직,무기 계약직,현원,계,31,30,30,26,23,30.0
정규직,무기 계약직,현원,전일제,31,30,30,26,23,30.0
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),173,173,144,144,156,156.0
