구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,13.0,13.0,13.0,13.0,11.0,13.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),494.0,505.0,496.0,508.0,531.0,526.0
정규직,일반 정규직,정원,(별도정원),4.0,1.0,2.0,3.0,8.0,5.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,448.5,460.75,477.75,495.75,512.75,518.88
정규직,일반 정규직,현원,전일제,448.0,460.0,477.0,495.0,512.0,518.0
정규직,일반 정규직,현원,단시간,0.5,0.75,0.75,0.75,0.75,0.88
정규직,무기 계약직,정원,계(C),260.0,260.0,260.0,261.0,258.0,241.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,1.0,1.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,191.8,247.05,244.7,245.3,237.7,224.28
정규직,무기 계약직,현원,전일제,190.0,243.0,239.0,238.0,231.0,217.0
정규직,무기 계약직,현원,단시간,1.8,4.05,5.7,7.3,6.7,7.28
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),755.0,766.0,757.0,770.0,790.0,768.0
