구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1,1.0,1.0,0.0,1.0
임원,임원,기관장,비상임,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,13,13,12.0,11.0,12.0,12.0
임원,임원,감사,상임 정원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),64,67,68.0,73.0,78.0,75.0
정규직,일반 정규직,정원,(별도정원),1,0,1.0,3.0,3.0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,58,63,64.0,69.0,72.0,67.0
정규직,일반 정규직,현원,전일제,58,63,64.0,69.0,72.0,67.0
정규직,일반 정규직,현원,단시간,0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),237,237,257.5,270.5,317.5,306.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,1.0,2.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,195,226,274.5,263.5,268.5,273.5
정규직,무기 계약직,현원,전일제,195,226,273.0,262.0,267.0,272.0
정규직,무기 계약직,현원,단시간,0,0,1.5,1.5,1.5,1.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),302,305,326.5,344.5,396.5,382.0
