구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,1.0,2.0,2.0
임원,임원,이사,비상임,11.0,11.0,11.0,11.0,11.0,11.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),824.0,925.0,984.0,1021.0,1085.0,1071.0
정규직,일반 정규직,정원,(별도정원),5.0,13.0,13.0,15.0,19.0,15.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,818.58,894.73,916.5,1001.5,1032.88,1053.14
정규직,일반 정규직,현원,전일제,798.0,879.0,838.0,984.0,1016.0,1036.0
정규직,일반 정규직,현원,단시간,20.58,15.73,78.5,17.5,16.88,17.14
정규직,무기 계약직,정원,계(C),231.88,283.88,337.88,393.88,405.88,367.88
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,209.25,240.75,319.13,378.13,375.63,353.16
정규직,무기 계약직,현원,전일제,191.0,213.0,292.0,351.0,349.0,322.0
정규직,무기 계약직,현원,단시간,18.25,27.75,27.13,27.13,26.63,31.16
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1058.88,1211.88,1324.88,1417.88,1493.88,1441.88
