구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,0.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2,2.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,2,2.0,2.0,3.0,3.0,3.0
임원,임원,이사,비상임,9,9.0,9.0,9.0,8.0,9.0
임원,임원,감사,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),303,325.0,350.0,360.0,377.0,371.0
정규직,일반 정규직,정원,(별도정원),1,3.0,2.0,2.0,3.0,3.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,263,294.5,315.5,322.5,344.5,350.63
정규직,일반 정규직,현원,전일제,261,292.0,313.0,320.0,342.0,349.0
정규직,일반 정규직,현원,단시간,2,2.5,2.5,2.5,2.5,1.63
정규직,무기 계약직,정원,계(C),134,159.0,159.0,159.0,159.0,148.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,117,138.0,140.0,133.25,131.25,131.01
정규직,무기 계약직,현원,전일제,113,134.0,136.0,130.0,128.0,127.0
정규직,무기 계약직,현원,단시간,4,4.0,4.0,3.25,3.25,4.01
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),441,488.0,514.0,524.0,541.0,524.0
