구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1,1.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2,2.0
정규직,일반 정규직,정원,계(B),222.0,228.0,271.0,298.0,296,297.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,1.0,1.0,0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,187.25,226.75,251.75,286.88,298,280.63
정규직,일반 정규직,현원,전일제,185.0,224.0,248.0,284.0,295,276.0
정규직,일반 정규직,현원,단시간,2.25,2.75,3.75,2.88,3,4.63
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),224.0,230.0,273.0,300.0,298,299.0
