구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0,0,0.0,0.0,0.0
임원,임원,이사,비상임,8,8,8,8.0,7.0,8.0
임원,임원,감사,상임 정원,0,0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1,1,1.0,1.0,1.0
임원,임원,기타,기타,0,0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),75,81,81,83.0,84.0,82.0
정규직,일반 정규직,정원,(별도정원),0,0,0,0.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,63,74,72,75.75,80.0,79.0
정규직,일반 정규직,현원,전일제,63,74,72,75.0,80.0,79.0
정규직,일반 정규직,현원,단시간,0,0,0,0.75,0.0,0.0
정규직,무기 계약직,정원,계(C),32,32,32,32.0,34.0,32.0
정규직,무기 계약직,정원,(별도정원),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,28,25,28,26.88,26.88,30.75
정규직,무기 계약직,현원,전일제,28,25,28,26.0,26.0,30.0
정규직,무기 계약직,현원,단시간,0,0,0,0.875,0.875,0.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),108,114,114,116.0,119.0,115.0
