구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1,1.0,0.0
임원,임원,기관장,비상임,0.0,0.0,0,0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0,0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0,0,0.0,0.0
임원,임원,이사,비상임,24.0,24.0,24,24,24.0,24.0
임원,임원,감사,상임 정원,0.0,0.0,0,0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1,1,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1,1,1.0,1.0
정규직,일반 정규직,정원,계(B),98.0,101.0,100,105,109.0,110.0
정규직,일반 정규직,정원,(별도정원),1.0,1.0,0,1,2.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0,0.0,0.0
정규직,일반 정규직,현원,계,87.5,87.5,90,95,105.0,105.0
정규직,일반 정규직,현원,전일제,86.0,86.0,89,94,105.0,105.0
정규직,일반 정규직,현원,단시간,1.5,1.5,1,1,0.0,0.0
정규직,무기 계약직,정원,계(C),49.0,49.0,49,47,49.0,45.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0,0.0,0.0
정규직,무기 계약직,현원,계,45.0,43.0,44,46,42.5,37.5
정규직,무기 계약직,현원,전일제,45.0,43.0,44,46,42.0,37.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0,0,0.5,0.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),148.0,151.0,150,153,159.0,156.0
