구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),2931.0,2971.0,3031.0,3135.0,3123.0,3093.0
정규직,일반 정규직,정원,(별도정원),71.0,73.0,79.0,81.0,58.0,64.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2922.5,2985.5,3006.0,3115.0,3015.0,3014.25
정규직,일반 정규직,현원,전일제,2918.0,2982.0,3003.0,3112.0,3012.0,3012.0
정규직,일반 정규직,현원,단시간,4.5,3.5,3.0,3.0,3.0,2.25
정규직,무기 계약직,정원,계(C),127.0,102.0,103.0,104.5,108.5,105.5
정규직,무기 계약직,정원,(별도정원),0.0,0.0,1.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,80.24,81.81,78.66,79.66,80.01,77.76
정규직,무기 계약직,현원,전일제,66.0,67.0,63.0,64.0,63.0,64.0
정규직,무기 계약직,현원,단시간,14.24,14.81,15.66,15.66,17.01,13.76
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3063.0,3078.0,3139.0,3244.5,3236.5,3203.5
