구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6,6.0,6.0,6.0
임원,임원,이사,상임 현원,6.0,5.0,6,6.0,6.0,5.0
임원,임원,이사,비상임,8.0,8.0,8,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),22720.0,23342.0,23398,23529.0,23717.0,23313.0
정규직,일반 정규직,정원,(별도정원),343.0,412.0,220,254.0,366.0,454.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,22221.63,22925.25,23415,23334.13,23629.64,23049.9
정규직,일반 정규직,현원,전일제,21985.0,22608.0,23095,22949.0,23193.0,22513.0
정규직,일반 정규직,현원,단시간,236.63,317.25,320,385.13,436.64,536.9
정규직,무기 계약직,정원,계(C),4.0,4.0,4,4.0,4.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),22731.0,23353.0,23409,23540.0,23728.0,23320.0
