구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,1
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,3,3,3,3,3,3
임원,임원,이사,상임 현원,3,3,3,3,3,3
임원,임원,이사,비상임,6,6,6,6,6,6
임원,임원,감사,상임 정원,1,1,1,1,1,1
임원,임원,감사,상임 현원,1,1,1,1,1,1
임원,임원,감사,비상임,0,0,0,0,0,0
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),5,5,5,5,5,5
정규직,일반 정규직,정원,계(B),2335,2346,2357,2365,2392,2338
정규직,일반 정규직,정원,(별도정원),47,58,69,77,104,132
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,2135,2143,2162,2173,2160,2154
정규직,일반 정규직,현원,전일제,2135,2143,2162,2173,2160,2154
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),20,20,20,20,20,17
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,19,18,17,18,14,13
정규직,무기 계약직,현원,전일제,19,18,17,18,14,13
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2360,2371,2382,2390,2417,2360
