구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4,4.0,4,4.0,4.0,4.0
임원,임원,이사,상임 현원,4,4.0,4,4.0,4.0,4.0
임원,임원,이사,비상임,6,6.0,6,6.0,6.0,6.0
임원,임원,감사,상임 정원,1,1.0,1,1.0,1.0,1.0
임원,임원,감사,상임 현원,1,1.0,1,1.0,1.0,1.0
임원,임원,감사,비상임,0,0.0,0,0.0,0.0,0.0
임원,임원,기타,기타,0,0.0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6,6.0,6,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),1550,1556.0,1576,1526.0,1511.0,1408.0
정규직,일반 정규직,정원,(별도정원),90,96.0,96,46.0,31.0,46.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1374,1325.5,1326,1334.38,1322.75,1316.55
정규직,일반 정규직,현원,전일제,1373,1325.0,1325,1333.0,1321.0,1314.0
정규직,일반 정규직,현원,단시간,1,0.5,1,1.38,1.75,2.55
정규직,무기 계약직,정원,계(C),0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0,0.0,0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1556,1562.0,1582,1532.0,1517.0,1414.0
