구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),2690.0,2770.0,2804.0,2833.0,2894.0,2836.0
정규직,일반 정규직,정원,(별도정원),125.0,103.0,78.0,73.0,107.0,140.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,37.0,37.0,0.0
정규직,일반 정규직,현원,계,2568.75,2685.75,2679.88,2664.8,2751.05,2816.5
정규직,일반 정규직,현원,전일제,2530.0,2629.0,2624.0,2602.0,2690.0,2758.0
정규직,일반 정규직,현원,단시간,38.75,56.75,55.88,62.8,61.05,58.5
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2694.0,2774.0,2808.0,2837.0,2898.0,2840.0
