구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,9.0,9.0,9.0,9.0,9.0,9.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,0.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),347.0,367.0,370.0,410.0,421.0,411.0
정규직,일반 정규직,정원,(별도정원),2.0,10.0,3.0,8.0,5.0,6.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,328.75,348.5,362.0,391.25,387.25,393.63
정규직,일반 정규직,현원,전일제,326.0,347.0,359.0,389.0,383.0,389.0
정규직,일반 정규직,현원,단시간,2.75,1.5,3.0,2.25,4.25,4.63
정규직,무기 계약직,정원,계(C),190.0,298.0,298.0,298.0,298.0,297.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,167.75,260.75,273.25,269.5,278.25,276.25
정규직,무기 계약직,현원,전일제,167.0,260.0,269.0,269.0,274.0,270.0
정규직,무기 계약직,현원,단시간,0.75,0.75,4.25,0.5,4.25,6.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),539.0,667.0,670.0,710.0,721.0,710.0
