구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0,0,0.0,0.0,0.0
임원,임원,이사,비상임,7,7,7,7.0,7.0,7.0
임원,임원,감사,상임 정원,0,0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1,1,1.0,1.0,1.0
임원,임원,기타,기타,0,0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),60,70,71,71.0,75.0,75.0
정규직,일반 정규직,정원,(별도정원),0,0,0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,54,63,69,62.75,65.75,60.88
정규직,일반 정규직,현원,전일제,54,63,69,62.0,65.0,60.0
정규직,일반 정규직,현원,단시간,0,0,0,0.75,0.75,0.88
정규직,무기 계약직,정원,계(C),36,36,36,36.0,41.0,41.0
정규직,무기 계약직,정원,(별도정원),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,27,26,26,40.0,50.0,54.0
정규직,무기 계약직,현원,전일제,27,26,26,40.0,50.0,54.0
정규직,무기 계약직,현원,단시간,0,0,0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),97,107,108,108.0,117.0,117.0
