구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1,1,1,1
임원,임원,기관장,상임 현원,1,1.0,1,1,1,1
임원,임원,기관장,비상임,0,0.0,0,0,0,0
임원,임원,이사,상임 정원,0,0.0,0,0,0,0
임원,임원,이사,상임 현원,0,0.0,0,0,0,0
임원,임원,이사,비상임,0,0.0,0,0,0,0
임원,임원,감사,상임 정원,0,0.0,0,0,0,0
임원,임원,감사,상임 현원,0,0.0,0,0,0,0
임원,임원,감사,비상임,1,1.0,1,0,0,0
임원,임원,기타,기타,0,0.0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1,1,1,1
정규직,일반 정규직,정원,계(B),483,483.0,489,493,495,499
정규직,일반 정규직,정원,(별도정원),9,9.0,8,9,9,9
정규직,일반 정규직,정원,(탄력정원),0,0.0,0,0,0,0
정규직,일반 정규직,현원,계,478,470.5,474,483,486,487
정규직,일반 정규직,현원,전일제,478,470.0,474,483,486,487
정규직,일반 정규직,현원,단시간,0,0.5,0,0,0,0
정규직,무기 계약직,정원,계(C),23,33.0,33,33,33,33
정규직,무기 계약직,정원,(별도정원),0,0.0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0,0,0,0
정규직,무기 계약직,현원,계,23,33.0,33,31,31,32
정규직,무기 계약직,현원,전일제,23,33.0,33,31,31,32
정규직,무기 계약직,현원,단시간,0,0.0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),507,517.0,523,527,529,533
