구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1,1,1
임원,임원,기관장,상임 현원,1.0,1,1,1,1,1
임원,임원,기관장,비상임,0.0,0,0,0,0,0
임원,임원,이사,상임 정원,0.0,0,0,0,0,0
임원,임원,이사,상임 현원,0.0,0,0,0,0,0
임원,임원,이사,비상임,0.0,0,0,0,0,0
임원,임원,감사,상임 정원,0.0,0,0,0,0,0
임원,임원,감사,상임 현원,0.0,0,0,0,0,0
임원,임원,감사,비상임,1.0,1,1,0,0,0
임원,임원,기타,기타,0.0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1,1,1,1
정규직,일반 정규직,정원,계(B),212.0,215,218,221,222,222
정규직,일반 정규직,정원,(별도정원),4.0,4,4,5,5,5
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0,0,0
정규직,일반 정규직,현원,계,209.75,211,217,221,221,219
정규직,일반 정규직,현원,전일제,209.0,211,217,221,221,219
정규직,일반 정규직,현원,단시간,0.75,0,0,0,0,0
정규직,무기 계약직,정원,계(C),30.0,60,60,60,60,60
정규직,무기 계약직,정원,(별도정원),0.0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0,0,0
정규직,무기 계약직,현원,계,28.0,39,53,53,55,56
정규직,무기 계약직,현원,전일제,28.0,39,53,53,55,56
정규직,무기 계약직,현원,단시간,0.0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),243.0,276,279,282,283,283
