구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,상임 현원,6.0,5.0,5.0,4.0,6.0,4.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),29966.0,32423.0,32417.0,32332.0,32501.0,32108.0
정규직,일반 정규직,정원,(별도정원),1644.0,1868.0,1865.0,1490.0,1437.0,1766.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,28469.09,30991.66,31029.19,30852.26,30917.5,31064.28
정규직,일반 정규직,현원,전일제,28387.0,30903.0,30939.0,30768.0,30835.0,30990.0
정규직,일반 정규직,현원,단시간,82.09,88.66,90.19,84.26,82.5,74.28
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),29973.0,32430.0,32424.0,32339.0,32508.0,32115.0
