구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1,1.0,1.0
정규직,일반 정규직,정원,계(B),330.0,372.0,377.0,380,382.0,368.0
정규직,일반 정규직,정원,(별도정원),4.0,3.0,2.0,5,7.0,7.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,325.75,337.75,346.0,338,358.88,357.5
정규직,일반 정규직,현원,전일제,322.0,325.0,312.5,326,344.0,339.0
정규직,일반 정규직,현원,단시간,3.75,12.75,33.5,12,14.88,18.5
정규직,무기 계약직,정원,계(C),0.0,37.0,37.0,37,37.0,26.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0,5.0,6.0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0,5.0,6.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),331.0,410.0,415.0,418,420.0,395.0
