구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10.0,10.0,10.0,10.0,9.0,9.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),60.0,63.0,66.0,66.0,71.0,66.0
정규직,일반 정규직,정원,(별도정원),0.0,1.0,2.0,2.0,2.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,55.0,60.0,63.0,61.0,64.0,65.0
정규직,일반 정규직,현원,전일제,55.0,60.0,63.0,61.0,64.0,65.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),143.5,152.5,152.5,169.5,188.5,190.5
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,2.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,128.0,141.0,132.5,152.0,169.0,172.5
정규직,무기 계약직,현원,전일제,109.0,124.0,115.0,136.0,150.0,155.0
정규직,무기 계약직,현원,단시간,19.0,17.0,17.5,16.0,19.0,17.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),204.5,216.5,219.5,236.5,260.5,257.5
