구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,1.0
임원,임원,이사,비상임,8.0,10.0,10.0,8.0,8.0,9.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),286.0,301.0,300.0,314.0,299.0,299.0
정규직,일반 정규직,정원,(별도정원),1.0,1.0,0.0,2.0,2.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,257.0,257.5,263.25,256.4,259.2,270.63
정규직,일반 정규직,현원,전일제,254.0,256.0,261.0,256.0,258.0,269.0
정규직,일반 정규직,현원,단시간,3.0,1.5,2.25,0.4,1.2,1.63
정규직,무기 계약직,정원,계(C),99.0,99.0,99.0,99.0,103.0,103.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,80.25,90.8,91.0,75.25,68.75,80.0
정규직,무기 계약직,현원,전일제,79.0,89.0,87.0,73.0,67.0,79.0
정규직,무기 계약직,현원,단시간,1.25,1.8,4.0,2.25,1.75,1.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),388.0,403.0,402.0,416.0,405.0,405.0
