구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,8.0,8,4.0,5.0,7.0,4.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1.0,0.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),62.0,62,60.0,65.0,67.0,64.0
정규직,일반 정규직,정원,(별도정원),2.0,2,0.0,1.0,2.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,55.75,55,55.75,64.75,59.75,61.75
정규직,일반 정규직,현원,전일제,55.0,55,55.0,64.0,59.0,61.0
정규직,일반 정규직,현원,단시간,0.75,0,0.75,0.75,0.75,0.75
정규직,무기 계약직,정원,계(C),29.0,29,29.0,29.0,29.0,29.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,26.0,28,27.0,26.0,24.0,23.0
정규직,무기 계약직,현원,전일제,26.0,28,27.0,26.0,24.0,23.0
정규직,무기 계약직,현원,단시간,0.0,0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),92.0,92,90.0,95.0,97.0,94.0
