구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,1,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1,1.0,1.0,1.0
임원,임원,이사,비상임,6.0,6.0,7,8.0,8.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,1,1.0,1.0,1.0
임원,임원,감사,상임 현원,0.0,0.0,1,1.0,1.0,1.0
임원,임원,감사,비상임,1.0,1.0,0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),246.0,252.0,257,264.0,269.0,272.0
정규직,일반 정규직,정원,(별도정원),4.0,5.0,4,3.0,5.0,9.0
정규직,일반 정규직,정원,(탄력정원),0.0,5.0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,233.25,242.75,244,259.0,267.75,267.48
정규직,일반 정규직,현원,전일제,231.0,241.0,240,256.0,265.0,264.0
정규직,일반 정규직,현원,단시간,2.25,1.75,4,3.0,2.75,3.475
정규직,무기 계약직,정원,계(C),127.0,255.0,255,261.0,261.0,248.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,106.0,236.0,237,250.75,235.75,232.75
정규직,무기 계약직,현원,전일제,104.0,236.0,236,250.0,235.0,232.0
정규직,무기 계약직,현원,단시간,2.0,0.0,1,0.75,0.75,0.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),376.0,510.0,515,528.0,533.0,523.0
