구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1,1,1.0,1
임원,임원,기관장,상임 현원,1,1.0,1,1,1.0,1
임원,임원,기관장,비상임,0,0.0,0,0,0.0,0
임원,임원,이사,상임 정원,3,3.0,3,3,3.0,3
임원,임원,이사,상임 현원,3,3.0,3,3,3.0,3
임원,임원,이사,비상임,0,0.0,0,0,0.0,0
임원,임원,감사,상임 정원,1,1.0,1,1,1.0,1
임원,임원,감사,상임 현원,1,1.0,1,1,1.0,1
임원,임원,감사,비상임,0,0.0,0,0,0.0,0
임원,임원,기타,기타,0,0.0,0,0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),5,5.0,5,5,5.0,5
정규직,일반 정규직,정원,계(B),248,256.0,269,269,290.0,282
정규직,일반 정규직,정원,(별도정원),1,0.0,0,0,2.0,2
정규직,일반 정규직,정원,(탄력정원),0,0.0,0,0,0.0,0
정규직,일반 정규직,현원,계,222,236.75,239,227,253.75,260
정규직,일반 정규직,현원,전일제,222,236.0,239,227,253.0,260
정규직,일반 정규직,현원,단시간,0,0.75,0,0,0.75,0
정규직,무기 계약직,정원,계(C),32,32.0,32,32,32.0,30
정규직,무기 계약직,정원,(별도정원),0,0.0,0,0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0,0,0.0,0
정규직,무기 계약직,현원,계,28,32.0,28,28,27.0,27
정규직,무기 계약직,현원,전일제,28,32.0,28,28,27.0,27
정규직,무기 계약직,현원,단시간,0,0.0,0,0,0.0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),285,293.0,306,306,327.0,317
