구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,0.0,0.0,0.0,0.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),436.0,436.0,436.0,437.0,436.0,437.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,1.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,410.0,420.0,421.5,422.75,435.0,428.5
정규직,일반 정규직,현원,전일제,406.0,416.0,410.0,413.0,432.0,421.0
정규직,일반 정규직,현원,단시간,4.0,4.0,11.5,9.75,3.0,7.5
정규직,무기 계약직,정원,계(C),226.0,226.0,226.0,226.0,226.0,226.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,165.5,144.5,163.75,157.5,161.75,164.75
정규직,무기 계약직,현원,전일제,165.0,144.0,163.0,155.0,161.0,161.0
정규직,무기 계약직,현원,단시간,0.5,0.5,0.75,2.5,0.75,3.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),665.0,665.0,665.0,666.0,665.0,666.0
