구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10,10.0,10.0,10.0,10.0,10.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),141,143.0,143.0,143.0,143.0,138.0
정규직,일반 정규직,정원,(별도정원),0,0.0,0.0,0.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,134,127.38,132.5,132.5,132.5,132.5
정규직,일반 정규직,현원,전일제,133,124.0,132.0,132.0,132.0,132.0
정규직,일반 정규직,현원,단시간,1,3.38,0.5,0.5,0.5,0.5
정규직,무기 계약직,정원,계(C),82,86.0,95.0,96.0,107.0,106.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,1.0,2.0,3.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,92,90.0,99.0,100.0,110.0,104.0
정규직,무기 계약직,현원,전일제,92,90.0,99.0,100.0,110.0,104.0
정규직,무기 계약직,현원,단시간,0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),224,230.0,239.0,240.0,251.0,245.0
