구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,8.0,9.0,9.0,9.0,5.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),227.0,243.0,275.0,275.0,274.0,274.0
정규직,일반 정규직,정원,(별도정원),0.0,1.0,1.0,1.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,214.0,230.25,260.5,258.0,258.5,263.0
정규직,일반 정규직,현원,전일제,211.0,226.0,257.0,256.0,257.0,262.0
정규직,일반 정규직,현원,단시간,3.0,4.25,3.5,2.0,1.5,1.0
정규직,무기 계약직,정원,계(C),153.0,153.0,153.0,153.0,153.0,147.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,144.25,141.0,147.0,146.75,142.5,147.25
정규직,무기 계약직,현원,전일제,142.0,140.0,145.0,143.0,140.0,146.0
정규직,무기 계약직,현원,단시간,2.25,1.0,2.0,3.75,2.5,1.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),382.0,398.0,430.0,430.0,429.0,423.0
