구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1,1,1.0
임원,임원,기관장,상임 현원,1,1,1.0,1,1,1.0
임원,임원,기관장,비상임,0,0,0.0,0,0,0.0
임원,임원,이사,상임 정원,0,0,0.0,0,0,0.0
임원,임원,이사,상임 현원,0,0,0.0,0,0,0.0
임원,임원,이사,비상임,0,0,0.0,0,0,0.0
임원,임원,감사,상임 정원,0,0,0.0,0,0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0,0,0.0
임원,임원,감사,비상임,1,1,1.0,0,0,0.0
임원,임원,기타,기타,0,0,0.0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1,1,1.0
정규직,일반 정규직,정원,계(B),471,476,472.0,480,487,490.0
정규직,일반 정규직,정원,(별도정원),9,12,14.0,18,13,16.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0,0,0.0
정규직,일반 정규직,현원,계,467,470,465.5,468,476,476.5
정규직,일반 정규직,현원,전일제,467,470,465.0,468,476,476.0
정규직,일반 정규직,현원,단시간,0,0,0.5,0,0,0.5
정규직,무기 계약직,정원,계(C),12,24,24.0,24,24,24.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0,0,0.0
정규직,무기 계약직,현원,계,10,21,22.0,20,24,22.0
정규직,무기 계약직,현원,전일제,10,21,22.0,20,24,22.0
정규직,무기 계약직,현원,단시간,0,0,0.0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),484,501,497.0,505,512,515.0
