구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,14.0,14.0,14.0,14.0,13.0,14.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),69.0,81.0,88.0,89.0,93.0,93.0
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,62.0,70.0,80.0,80.58,87.5,89.75
정규직,일반 정규직,현원,전일제,62.0,70.0,80.0,78.0,86.0,88.0
정규직,일반 정규직,현원,단시간,0.0,0.0,0.0,2.58,1.5,1.75
정규직,무기 계약직,정원,계(C),69.0,69.0,69.0,69.0,52.0,53.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,37.63,45.5,37.75,34.88,44.5,48.38
정규직,무기 계약직,현원,전일제,35.0,43.75,36.0,34.0,43.0,46.0
정규직,무기 계약직,현원,단시간,2.63,1.75,1.75,0.88,1.5,2.38
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),139.0,151.0,158.0,159.0,146.0,147.0
