구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),954.0,1005.0,1009.0,1010.0,1021.0,1035.0
정규직,일반 정규직,정원,(별도정원),4.0,7.0,6.0,5.0,8.0,17.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,940.6,987.1,990.88,993.5,999.63,997.88
정규직,일반 정규직,현원,전일제,937.0,985.0,989.0,992.0,998.0,997.0
정규직,일반 정규직,현원,단시간,3.6,2.1,1.88,1.5,1.63,0.88
정규직,무기 계약직,정원,계(C),11.0,11.0,11.0,11.0,11.0,12.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,11.0,11.0,11.0,11.0,11.0,12.0
정규직,무기 계약직,현원,전일제,11.0,11.0,11.0,11.0,11.0,12.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),967.0,1018.0,1022.0,1022.0,1033.0,1048.0
