구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1,1
임원,임원,기관장,상임 현원,1,1,1,1,1,0
임원,임원,기관장,비상임,0,0,0,0,0,0
임원,임원,이사,상임 정원,0,0,0,0,0,0
임원,임원,이사,상임 현원,0,0,0,0,0,0
임원,임원,이사,비상임,14,14,14,14,14,13
임원,임원,감사,상임 정원,1,1,1,1,1,1
임원,임원,감사,상임 현원,1,1,1,0,1,1
임원,임원,감사,비상임,0,0,0,0,0,0
임원,임원,기타,기타,0,0,0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),2,2,2,2,2,2
정규직,일반 정규직,정원,계(B),381,382,382,393,395,394
정규직,일반 정규직,정원,(별도정원),6,4,4,12,12,11
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0,0
정규직,일반 정규직,현원,계,357,349,375,387,375,381
정규직,일반 정규직,현원,전일제,357,349,375,387,375,381
정규직,일반 정규직,현원,단시간,0,0,0,0,0,0
정규직,무기 계약직,정원,계(C),141,360,360,360,360,345
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0,0
정규직,무기 계약직,현원,계,146,329,344,339,335,328
정규직,무기 계약직,현원,전일제,146,329,344,339,335,328
정규직,무기 계약직,현원,단시간,0,0,0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),524,744,744,755,757,741
