구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3,3.0,3.0
임원,임원,이사,상임 현원,2.0,3.0,3.0,3,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,4.0,5,5.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4,4.0,4.0
정규직,일반 정규직,정원,계(B),405.0,456.0,514.0,529,535.0,521.0
정규직,일반 정규직,정원,(별도정원),2.0,9.0,7.0,7,5.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,일반 정규직,현원,계,389.5,436.5,498.5,519,515.5,517.88
정규직,일반 정규직,현원,전일제,384.0,416.0,489.0,518,515.0,517.0
정규직,일반 정규직,현원,단시간,5.5,20.5,9.5,1,0.5,0.88
정규직,무기 계약직,정원,계(C),9.0,10.0,10.0,11,11.0,11.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0.0,0.0
정규직,무기 계약직,현원,계,9.0,10.0,9.0,11,11.0,11.0
정규직,무기 계약직,현원,전일제,9.0,10.0,8.0,10,10.0,10.0
정규직,무기 계약직,현원,단시간,0.0,0.0,1.0,1,1.0,1.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),418.0,470.0,528.0,544,550.0,536.0
