구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1,1,1.0,1.0
임원,임원,기관장,상임 현원,1,1,1,1,1.0,1.0
임원,임원,기관장,비상임,0,0,0,0,0.0,0.0
임원,임원,이사,상임 정원,3,3,3,3,3.0,3.0
임원,임원,이사,상임 현원,3,3,3,3,3.0,3.0
임원,임원,이사,비상임,3,3,3,4,4.0,4.0
임원,임원,감사,상임 정원,1,1,1,1,1.0,1.0
임원,임원,감사,상임 현원,1,1,1,1,1.0,1.0
임원,임원,감사,비상임,0,0,0,0,0.0,0.0
임원,임원,기타,기타,0,0,0,0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5,5,5,5,5.0,5.0
정규직,일반 정규직,정원,계(B),49,49,64,73,88.0,85.0
정규직,일반 정규직,정원,(별도정원),0,0,0,0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0,0.0,0.0
정규직,일반 정규직,현원,계,17,46,51,66,70.38,79.75
정규직,일반 정규직,현원,전일제,17,46,51,66,70.0,79.0
정규직,일반 정규직,현원,단시간,0,0,0,0,0.375,0.75
정규직,무기 계약직,정원,계(C),0,0,3,3,4.0,4.0
정규직,무기 계약직,정원,(별도정원),0,0,0,0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0,0.0,0.0
정규직,무기 계약직,현원,계,0,0,3,3,2.0,2.0
정규직,무기 계약직,현원,전일제,0,0,3,3,2.0,2.0
정규직,무기 계약직,현원,단시간,0,0,0,0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),54,54,72,81,97.0,94.0
