구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1,1
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1,1
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0,0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0,0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0,0
임원,임원,이사,비상임,0,0.0,0.0,0.0,0,0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0,0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0,0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1,0
임원,임원,기타,기타,0,0.0,0.0,0.0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1.0,1.0,1,1
정규직,일반 정규직,정원,계(B),432,435.0,460.0,473.0,475,472
정규직,일반 정규직,정원,(별도정원),15,11.0,19.0,24.0,20,17
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0,0
정규직,일반 정규직,현원,계,430,416.35,445.75,454.75,454,457
정규직,일반 정규직,현원,전일제,430,415.0,445.0,454.0,454,457
정규직,일반 정규직,현원,단시간,0,1.35,0.75,0.75,0,0
정규직,무기 계약직,정원,계(C),151,167.0,167.0,167.0,167,167
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0,0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0,0
정규직,무기 계약직,현원,계,142,147.0,157.0,150.38,151,154
정규직,무기 계약직,현원,전일제,142,147.0,157.0,150.0,151,154
정규직,무기 계약직,현원,단시간,0,0.0,0.0,0.38,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),584,603.0,628.0,641.0,643,640
