구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),2176.0,2350.0,2449.0,2594.0,2681.0,2625.0
정규직,일반 정규직,정원,(별도정원),27.0,38.0,35.0,50.0,45.0,32.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2073.5,2346.63,2403.75,2524.38,2598.0,2562.13
정규직,일반 정규직,현원,전일제,2072.0,2338.0,2395.0,2517.0,2584.0,2543.0
정규직,일반 정규직,현원,단시간,1.5,8.63,8.75,7.38,14.0,19.13
정규직,무기 계약직,정원,계(C),640.0,640.0,639.0,638.0,638.0,580.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,567.75,593.18,586.5,587.85,576.65,524.33
정규직,무기 계약직,현원,전일제,564.0,576.0,571.0,571.0,563.0,512.0
정규직,무기 계약직,현원,단시간,3.75,17.18,15.5,16.85,13.65,12.33
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2823.0,2997.0,3095.0,3239.0,3326.0,3212.0
