구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,1.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),311.0,345.0,361.0,381.0,400.0,396.0
정규직,일반 정규직,정원,(별도정원),1.0,3.0,2.0,1.0,2.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,300.65,338.5,347.5,351.73,373.26,388.3
정규직,일반 정규직,현원,전일제,298.0,338.0,347.0,344.0,367.0,379.0
정규직,일반 정규직,현원,단시간,2.65,0.5,0.5,7.725,6.26,9.3
정규직,무기 계약직,정원,계(C),201.0,287.0,287.0,287.0,287.0,258.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,131.0,227.5,227.88,218.0,228.75,242.87
정규직,무기 계약직,현원,전일제,131.0,227.0,227.0,216.0,225.0,237.0
정규직,무기 계약직,현원,단시간,0.0,0.5,0.875,2.0,3.75,5.87
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),515.0,635.0,651.0,671.0,690.0,657.0
