구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,1,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2,2,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2,2,2.0
임원,임원,이사,비상임,4.0,4.0,4.0,4,4,4.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1,1,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1,1,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0,0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4,4,4.0
정규직,일반 정규직,정원,계(B),1598.0,1712.0,1784.0,1855,1987,1989.0
정규직,일반 정규직,정원,(별도정원),27.0,33.0,41.0,46,47,49.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0,0.0
정규직,일반 정규직,현원,계,1557.5,1672.0,1778.5,1845,1983,1940.5
정규직,일반 정규직,현원,전일제,1551.0,1663.0,1766.0,1833,1972,1929.0
정규직,일반 정규직,현원,단시간,6.5,9.0,12.5,12,11,11.5
정규직,무기 계약직,정원,계(C),1072.0,1113.0,1113.0,1111,1049,1024.0
정규직,무기 계약직,정원,(별도정원),0.0,3.0,3.0,1,3,6.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0,0.0
정규직,무기 계약직,현원,계,986.75,1034.75,1063.0,1019,959,945.0
정규직,무기 계약직,현원,전일제,983.0,1031.0,1063.0,1019,959,945.0
정규직,무기 계약직,현원,단시간,3.75,3.75,0.0,0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2674.0,2829.0,2901.0,2970,3040,3017.0
