구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,2,2.0,2.0,2.0,2,2.0
임원,임원,이사,상임 현원,2,2.0,2.0,2.0,2,2.0
임원,임원,이사,비상임,7,7.0,5.0,5.0,5,5.0
임원,임원,감사,상임 정원,1,1.0,1.0,1.0,1,1.0
임원,임원,감사,상임 현원,1,1.0,1.0,1.0,1,0.0
임원,임원,감사,비상임,0,0.0,0.0,0.0,0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4,4.0,4.0,4.0,4,4.0
정규직,일반 정규직,정원,계(B),1188,1180.0,1193.0,1188.0,1175,1160.0
정규직,일반 정규직,정원,(별도정원),37,29.0,42.0,37.0,24,23.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,1156,1144.5,1116.5,1084.63,1064,1069.5
정규직,일반 정규직,현원,전일제,1156,1143.0,1115.0,1083.0,1064,1068.0
정규직,일반 정규직,현원,단시간,0,1.5,1.5,1.63,0,1.5
정규직,무기 계약직,정원,계(C),4,5.0,5.0,5.0,5,5.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,5,5.0,4.0,5.0,5,4.0
정규직,무기 계약직,현원,전일제,5,5.0,4.0,5.0,5,4.0
정규직,무기 계약직,현원,단시간,0,0.0,0.0,0.0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1196,1189.0,1202.0,1197.0,1184,1169.0
