구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,10.0,10.0,10.0,9.0,9.0,9.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),76.0,81.0,81.0,88.0,93.0,89.0
정규직,일반 정규직,정원,(별도정원),0.0,2.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,76.0,77.5,74.5,80.0,89.75,85.5
정규직,일반 정규직,현원,전일제,76.0,77.0,74.0,78.0,87.0,84.0
정규직,일반 정규직,현원,단시간,0.0,0.5,0.5,2.0,2.75,1.5
정규직,무기 계약직,정원,계(C),7.0,7.0,7.0,7.0,7.0,6.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,6.5,6.5,6.5,6.5,5.5,5.0
정규직,무기 계약직,현원,전일제,6.0,6.0,6.0,6.0,5.0,5.0
정규직,무기 계약직,현원,단시간,0.5,0.5,0.5,0.5,0.5,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),84.0,89.0,89.0,96.0,101.0,96.0
