구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),623.0,645.0,647.0,667.0,686.0,669.0
정규직,일반 정규직,정원,(별도정원),35.0,30.0,22.0,21.0,22.0,29.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,현원,계,617.0,627.38,614.75,635.38,648.25,636.25
정규직,일반 정규직,현원,전일제,613.0,624.0,612.0,632.0,645.0,633.0
정규직,일반 정규직,현원,단시간,4.0,3.38,2.75,3.38,3.25,3.25
정규직,무기 계약직,정원,계(C),48.0,50.0,50.0,57.0,57.0,47.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,39.88,44.38,44.94,46.44,45.94,43.56
정규직,무기 계약직,현원,전일제,36.0,40.0,37.0,37.0,36.0,36.0
정규직,무기 계약직,현원,단시간,3.88,4.38,7.94,9.44,9.94,7.56
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),675.0,699.0,701.0,728.0,747.0,720.0
